,PC1,PC2,PC3,PC4
4815,2.1087677874055744,-0.6684866099391703,1.860544165197536,1.0546452570073752
3059,-2.3243920092050097,-0.5327875429786323,-0.1308921866358473,-0.3246772695411543
985,-1.3834547558481485,1.694394293893427,1.6221613952779372,0.8770332081172978
6022,2.2723986611411258,-0.2191160474734501,1.0418636025129975,0.040249981382225145
6630,1.7684972652326485,0.8292751795576032,0.2208081498170447,-1.107525788963446
705,-0.5205967988875926,0.9198416371500856,1.1717800509078369,0.020223307546363888
2610,0.8921528058750118,-0.002774107618034727,-2.0406329492843613,-0.41668241950093615
6914,0.2204131621864025,0.2169361174322776,0.07609854954909724,1.762042640002922
5844,-0.0679010506232412,-0.38983835996744637,0.336369150838049,1.2003570721382355
6245,0.32275976513478144,0.5929448281247676,-1.6943354618030382,0.15309339866041768
2043,-1.763962202472974,2.95426764026907,0.013396054348811979,0.4668781686988155
6162,-0.12192993223889836,-1.4159050804799505,-0.9169015905135565,0.1980373919884062
2991,-1.3685555365352797,-0.7108723431798954,-1.9338306179656788,0.033627896121247274
217,-2.595399860927207,0.06749862369758483,0.6196173746626948,1.351972173448366
5227,0.7778728517654531,-0.9960039416370123,0.46082251046677936,0.1433342641387073
727,-0.8497162020168418,-0.033221561792223346,1.1545899074032544,-1.1940899589607392
1374,-1.480073605388795,1.5342881102245738,0.43449968593939087,-0.6928709864693011
4760,2.094524414879792,0.593310014255735,-1.3378301318025465,-0.1816153359830044
3492,1.0028073681772725,0.8947495821822687,-2.805556285676911,-1.12965750110991
4998,2.693358001087531,-1.1325425281884436,-0.08695419853978242,-0.8487417080859043
287,-0.9428278788842194,-1.4078068387898808,0.5737552401157678,0.5075707506910371
1825,1.0024820296579402,1.239169601415049,-1.4050409369292343,-0.6532975435798639
5240,1.1338627851770768,1.5248616117369593,0.7149956937094509,1.6444495230140206
3099,0.9201158986928923,1.7344712822175747,0.4280307993962149,0.6237585077526117
686,2.009235418626903,-0.3697718335941102,-2.3933368954417817,0.02262194299821174
5005,0.5902797107306615,-1.0326673513207325,0.4484828174141972,1.2124731592065225
5769,2.141373909377372,1.3624345525050963,-0.06403709984379659,2.6189315939490236
4460,-0.8204504449082651,-1.1686886209288752,-0.9937012467858147,1.1459784253901786
3042,-2.572108658984339,0.4973811487815059,-1.1997705071341702,-0.37722001540339545
6470,-0.6634166946393882,0.7282227764787629,-0.8930688355257798,0.17930433798075654
973,-0.8004506661258382,0.66253127515033,-1.2037154501794203,1.3164744374492203
1766,-0.55675372731216,-0.337616794936258,-0.22115377281795723,-0.33421198649331857
3012,-1.292627778143616,2.0039983519833116,0.2739497041092051,-0.9378003352862815
3406,-0.6525256789884556,0.4544882499166417,-1.0908077431217114,0.4394144206947896
3417,-0.08102641555292084,-0.5002661655837823,-0.8267269605546497,-1.0988569551795162
1147,-0.8136798886998182,-0.3655836690382374,-0.33188271756327986,-0.049265042889652055
4021,3.0664512508765776,0.7976573777644002,0.12004140617811918,-0.20718977046363043
492,-1.6209095492625893,0.9929341579975174,-0.40250424358654324,1.258031184172884
1519,-0.9558627984265343,-0.967094205631674,0.7015004212389739,-1.6027407204776007
5912,2.6110530992334215,-0.9652808879931162,2.1645576888077898,0.11164300022289098
1114,-1.6083263672921433,-0.037763468562035794,-1.0624073142729227,-1.3021721141768177
636,-1.8278206295675903,0.9550731880118564,-1.398825858433058,-0.6741420954233502
6826,1.6091603742383354,-2.735775512470343,-1.4772753215847438,-0.007433918450454521
81,-2.5282916393000763,-0.17159197085952818,0.0006619097439418433,0.4945699747182496
6308,0.760230035899012,-0.6735586609495483,-2.0540383234158113,-0.7600894439323819
2899,-1.3282326518086178,-0.360087035643206,-0.7688369712658839,0.4962030850345171
